payment_id,order_id,payment_method_id,payment_date,payment_amount
1,2,1.0,,603.50
2,4,1.0,,"1,288.00"
4,5,1.0,,"1,800.00"
5,6,1.0,,389.50
6,7,1.0,,"1,479.00"
7,8,1.0,,"2,028.85"
8,9,1.0,,"1,315.10"
9,10,1.0,,"2,603.00"
10,11,1.0,,319.00
11,5,1.0,,559.50
12,12,1.0,,481.50
13,13,1.0,,"1,819.50"
14,14,1.0,,13.10
15,15,1.0,,12.00
16,16,1.0,,16.70
17,17,1.0,,968.00
18,18,1.0,,80.10
19,19,1.0,,548.00
20,20,1.0,,"2,100.00"
21,21,1.0,,"2,769.35"
22,22,1.0,,352.50
23,23,1.0,,867.00
24,20,1.0,,47.00
25,24,1.0,,"2,120.10"
26,25,1.0,,16.30
27,26,1.0,,"1,457.00"
28,15,1.0,,2.00
29,27,1.0,,11.60
30,28,1.0,,"2,705.20"
31,29,1.0,,"9,672.30"
32,30,1.0,,3.00
33,31,1.0,,"2,096.20"
34,31,1.0,,"1,000.00"
35,32,1.0,,237.00
36,35,1.0,,"1,176.90"
37,36,1.0,,28.10
38,37,1.0,,"1,222.60"
39,33,1.0,,"1,766.60"
40,34,1.0,,"1,113.60"
41,39,1.0,,8.40
42,40,1.0,,"1,910.85"
43,41,1.0,,"3,602.00"
44,38,1.0,,935.50
45,43,1.0,,776.20
46,44,1.0,,"1,048.25"
47,45,1.0,,509.00
48,46,1.0,,166.70
49,47,1.0,,934.50
50,48,1.0,,418.50
51,49,1.0,,"1,137.10"
52,50,1.0,,15.10
53,42,1.0,,"2,305.00"
54,51,1.0,,532.50
55,53,1.0,,124.00
56,52,1.0,,896.00
57,55,1.0,,110.20
58,54,1.0,,"4,000.00"
59,56,1.0,,763.50
60,54,1.0,,562.50
61,57,1.0,,893.50
62,58,1.0,,789.50
63,59,1.0,,801.00
64,60,1.0,,"3,606.00"
65,61,1.0,,370.50
66,62,1.0,,"1,714.00"
67,66,1.0,,483.87
68,63,1.0,,"1,044.80"
69,67,1.0,,"3,580.00"
70,66,1.0,,837.23
71,68,1.0,,26.90
72,69,1.0,,"3,212.00"
73,70,1.0,,602.60
74,73,1.0,,43.30
75,74,1.0,,"3,277.40"
76,72,1.0,,76.10
77,75,1.0,,"1,542.50"
78,76,1.0,,"1,469.40"
79,71,1.0,,"10,891.70"
80,77,1.0,,252.00
81,78,1.0,,749.90
82,80,1.0,,235.10
83,79,1.0,,932.40
84,81,1.0,,505.00
85,82,1.0,,"1,070.05"
86,83,1.0,,96.80
87,84,1.0,,"2,093.00"
88,85,1.0,,456.00
89,86,1.0,,"2,348.20"
90,87,1.0,,378.00
91,88,1.0,,"3,635.00"
92,89,1.0,,940.20
93,90,1.0,,335.00
94,92,1.0,,809.00
95,91,1.0,,"1,734.15"
96,93,1.0,,900.00
97,94,1.0,,25.70
98,95,1.0,,269.20
99,96,1.0,,7.80
100,97,1.0,,"2,072.40"
101,98,1.0,,"2,277.00"
102,99,1.0,,"1,189.50"
103,102,1.0,,"1,166.50"
104,101,1.0,,"4,879.00"
105,103,1.0,,7.30
111,104,1.0,,206.60
112,105,1.0,,673.37
113,98,1.0,,188.00
114,106,1.0,,"1,090.00"
115,107,1.0,,895.00
116,108,1.0,,"2,768.00"
117,106,1.0,,37.95
118,100,1.0,,23.50
119,109,1.0,,"1,430.00"
120,111,1.0,,12.40
121,113,1.0,,8.75
122,114,1.0,,400.00
123,108,1.0,,"1,260.00"
124,116,1.0,,"3,134.00"
125,117,1.0,,920.00
126,118,1.0,,"1,077.50"
127,119,1.0,,37.80
129,121,1.0,,660.00
130,120,1.0,,"1,628.20"
131,122,1.0,,20.90
132,124,1.0,,87.20
133,125,1.0,,526.30
134,127,1.0,,788.70
135,128,1.0,,"1,693.00"
136,115,1.0,,"1,552.29"
137,129,1.0,,"2,122.70"
139,131,1.0,,516.00
140,132,1.0,,"2,399.02"
141,133,1.0,,"1,110.00"
142,134,1.0,,873.26
143,135,1.0,,"1,109.45"
144,136,1.0,,1.70
145,137,1.0,,362.90
146,126,1.0,,"6,534.80"
147,138,1.0,,"4,000.00"
148,139,1.0,,"2,517.00"
149,140,1.0,,909.92
150,141,1.0,,"1,729.24"
151,142,1.0,,7.60
152,143,1.0,,22.90
153,144,1.0,,690.44
154,145,1.0,,"3,563.00"
155,146,1.0,,"1,362.40"
156,147,1.0,,965.81
158,149,1.0,,875.20
159,150,1.0,,9.70
160,152,1.0,,4.30
161,153,1.0,,9.70
162,155,1.0,,140.90
163,158,1.0,,726.30
164,159,1.0,,769.45
165,160,1.0,,993.49
166,165,1.0,,"3,527.05"
167,164,1.0,,13.20
168,154,1.0,,"1,518.00"
169,166,1.0,,100.60
170,167,1.0,,463.80
171,161,1.0,,739.60
172,168,1.0,,"1,823.61"
173,170,1.0,,116.40
174,171,1.0,,40.20
175,172,1.0,,49.90
176,173,1.0,,"1,300.81"
177,175,1.0,,"3,653.33"
178,176,1.0,,65.15
179,177,1.0,,2.20
180,178,1.0,,170.41
181,179,1.0,,"1,639.43"
182,180,1.0,,"1,160.50"
183,182,1.0,,206.00
184,183,1.0,,433.75
185,184,1.0,,13.40
186,185,1.0,,45.60
187,186,1.0,,148.44
188,187,1.0,,477.00
189,181,1.0,,"1,065.40"
190,189,1.0,,116.70
191,190,1.0,,"2,283.85"
192,191,1.0,,"2,150.40"
193,192,1.0,,318.70
194,193,1.0,,"2,487.77"
195,195,1.0,,143.20
196,194,1.0,,6.20
197,197,1.0,,"3,347.47"
198,196,1.0,,"6,516.35"
199,198,1.0,,528.75
200,199,1.0,,10.90
201,197,1.0,,652.53
202,201,1.0,,99.58
203,202,1.0,,913.54
204,203,1.0,,104.40
205,204,1.0,,"2,848.29"
206,202,1.0,,128.25
207,205,1.0,,9.79
208,206,1.0,,"5,765.63"
209,207,1.0,,"1,573.67"
210,193,1.0,,163.13
211,209,1.0,,193.00
212,210,1.0,,141.80
213,211,1.0,,"2,468.76"
214,212,1.0,,"1,227.00"
215,213,1.0,,168.45
216,214,1.0,,162.00
217,215,1.0,,935.00
218,216,1.0,,"3,104.75"
219,217,1.0,,84.60
220,218,1.0,,"2,310.23"
221,220,1.0,,"2,343.23"
222,221,1.0,,"3,144.80"
224,101,1.0,,88.90
225,222,1.0,,"1,518.81"
226,223,1.0,,"1,537.29"
227,224,1.0,,272.71
228,225,1.0,,512.50
229,226,1.0,,167.59
230,227,1.0,,727.27
231,228,1.0,,229.25
232,227,1.0,,64.24
233,230,1.0,,"1,801.00"
234,231,1.0,,"1,715.50"
235,235,1.0,,"5,898.00"
236,234,1.0,,267.87
237,233,1.0,,"2,564.36"
238,236,1.0,,127.50
239,238,1.0,,702.50
240,229,1.0,,"4,870.80"
241,239,1.0,,198.30
242,237,1.0,,155.20
243,232,1.0,,0.00
244,240,1.0,,14.40
245,241,1.0,,222.25
246,242,1.0,,111.35
247,208,1.0,,9.60
248,244,1.0,,488.20
249,243,1.0,,219.35
250,245,1.0,,274.44
251,246,1.0,,94.00
252,247,1.0,,540.60
253,249,1.0,,16.80
254,250,1.0,,119.45
255,251,1.0,,148.20
256,252,1.0,,157.60
257,255,1.0,,98.15
258,253,1.0,,246.35
259,256,1.0,,"1,199.00"
260,258,1.0,,122.65
261,259,1.0,,"1,990.40"
262,262,1.0,,"1,976.79"
263,257,1.0,,"6,655.30"
264,264,1.0,,874.84
265,261,1.0,,139.55
266,263,1.0,,224.95
267,265,1.0,,12.00
268,266,1.0,,21.30
269,268,1.0,,5.40
270,269,1.0,,"1,211.00"
271,270,1.0,,148.85
272,260,1.0,,5.20
273,271,1.0,,226.05
274,272,1.0,,286.85
275,273,1.0,,887.90
276,275,1.0,,"3,126.25"
277,276,1.0,,208.50
278,274,1.0,,121.75
279,277,1.0,,13.62
280,282,2.0,,138.20
281,283,2.0,,59.75
282,284,2.0,,290.25
283,280,1.0,,235.00
284,285,1.0,,201.20
285,286,1.0,,298.75
286,289,1.0,,126.60
287,288,2.0,,457.50
288,290,1.0,,175.20
289,291,1.0,,128.90
290,278,1.0,,52.05
291,292,1.0,,435.30
292,293,1.0,,273.30
293,294,1.0,,824.00
294,295,1.0,,"1,220.30"
295,296,1.0,,3.05
296,297,2.0,,210.30
297,267,2.0,,"1,664.43"
298,298,1.0,,151.90
299,299,1.0,,"1,585.70"
300,300,1.0,,284.00
301,303,1.0,,852.00
302,304,1.0,,790.65
303,305,1.0,,282.70
304,306,1.0,,144.00
305,308,1.0,,155.00
306,309,1.0,,47.50
309,313,1.0,,9.70
310,315,1.0,,668.90
311,316,1.0,,482.00
312,317,1.0,,"4,433.00"
313,281,1.0,,92.00
314,318,1.0,,330.00
315,319,1.0,,259.15
316,320,1.0,,310.51
317,321,1.0,,"1,004.64"
318,322,1.0,,895.35
319,307,1.0,,"1,288.60"
320,324,1.0,,711.40
321,325,1.0,,300.15
322,326,1.0,,727.50
323,323,1.0,,"1,320.50"
324,332,1.0,,150.75
325,328,1.0,,23.45
326,314,1.0,,"6,654.15"
327,311,1.0,,"2,010.05"
328,330,2.0,,18.20
329,329,1.0,,"9,944.30"
330,335,1.0,,980.00
331,334,1.0,,151.00
332,333,1.0,,"1,525.91"
333,337,1.0,,203.85
334,338,1.0,,"1,995.50"
335,339,1.0,,82.00
336,343,1.0,,629.50
337,342,1.0,,177.50
338,341,1.0,,"1,075.40"
339,340,1.0,,"2,181.40"
340,336,1.0,,"2,320.00"
341,344,1.0,,121.15
342,347,1.0,,49.74
343,349,1.0,,358.10
344,345,1.0,,"1,324.90"
345,354,1.0,,770.00
346,350,1.0,,526.50
347,356,1.0,,42.75
348,353,1.0,,"5,219.70"
349,352,1.0,,409.80
350,346,1.0,,"2,464.40"
351,360,1.0,,3.20
352,358,1.0,,105.50
353,361,1.0,,168.15
354,359,2.0,,296.50
355,364,1.0,,"3,720.60"
356,362,1.0,,472.30
357,363,1.0,,17.20
358,355,2.0,,215.20
359,365,2.0,,827.60
360,367,1.0,,"1,123.40"
361,368,1.0,,147.00
362,372,1.0,,"1,956.25"
363,369,1.0,,636.75
364,371,1.0,,93.50
365,373,1.0,,321.65
366,374,1.0,,610.35
367,375,2.0,,"1,473.07"
368,376,1.0,,67.75
369,377,1.0,,"1,491.10"
370,378,1.0,,"4,258.94"
371,379,1.0,,747.45
372,380,1.0,,353.25
373,383,1.0,,4.00
374,384,1.0,,12.40
375,385,1.0,,24.00
376,386,1.0,,"3,425.60"
377,382,1.0,,259.00
378,387,1.0,,2.30
379,389,1.0,,135.00
380,390,1.0,,"2,380.95"
381,391,1.0,,23.40
382,393,1.0,,"1,218.71"
383,395,1.0,,283.00
384,394,1.0,,90.00
385,392,1.0,,195.40
386,396,1.0,,"1,128.30"
387,381,1.0,,488.50
388,397,1.0,,245.80
389,351,2.0,,"1,958.33"
390,400,1.0,,"1,232.95"
391,390,1.0,,704.05
392,388,1.0,,"4,449.20"
393,399,1.0,,"5,261.74"
394,401,1.0,,"1,153.55"
395,402,1.0,,101.70
396,405,1.0,,5.90
397,404,1.0,,126.25
398,403,1.0,,"3,300.75"
399,408,1.0,,512.70
400,409,1.0,,297.10
401,410,1.0,,645.50
402,406,1.0,,"1,806.40"
403,413,1.0,,"5,586.90"
404,411,1.0,,16.25
405,412,1.0,,15.80
406,398,1.0,,383.89
407,416,1.0,,822.65
408,420,1.0,,23.00
409,415,1.0,,"4,133.15"
410,418,1.0,,"2,978.40"
411,427,1.0,,"3,367.50"
412,438,2.0,,213.90
413,432,1.0,,287.10
414,421,1.0,,89.40
415,433,1.0,,257.10
416,424,2.0,,147.35
417,439,1.0,,526.65
418,434,1.0,,658.00
419,440,1.0,,79.00
420,419,2.0,,843.97
421,430,1.0,,"2,288.85"
422,435,1.0,,"2,105.60"
423,444,1.0,,169.75
424,445,1.0,,"3,993.40"
425,441,1.0,,407.45
426,443,1.0,,86.55
427,446,1.0,,271.50
428,425,1.0,,"2,815.90"
429,431,1.0,,"1,831.30"
430,451,1.0,,"5,128.40"
431,453,1.0,,896.30
432,452,1.0,,874.15
433,454,1.0,,841.30
434,455,1.0,,4.40
435,468,1.0,,"4,048.95"
436,474,1.0,,"4,740.35"
437,467,1.0,,"2,045.00"
438,464,1.0,,"2,178.10"
439,472,1.0,,311.00
440,447,1.0,,3.70
441,459,2.0,,"4,470.26"
442,448,1.0,,"5,190.31"
443,470,1.0,,"1,324.60"
444,471,1.0,,2.30
445,460,1.0,,595.40
446,473,1.0,,454.00
447,462,1.0,,308.00
448,469,1.0,,862.75
449,450,1.0,,15.00
450,449,1.0,,89.50
451,463,1.0,,35.55
452,348,2.0,,"1,505.55"
453,461,1.0,,82.65
454,428,2.0,,329.10
455,442,2.0,,218.60
456,457,2.0,,200.40
457,475,1.0,,198.95
458,478,1.0,,310.40
459,486,1.0,,375.60
460,476,2.0,,863.00
461,487,1.0,,"1,743.20"
462,488,1.0,,223.00
463,477,1.0,,261.25
464,485,1.0,,"4,268.00"
465,492,1.0,,686.60
466,495,1.0,,"1,154.00"
467,497,1.0,,"1,810.20"
468,489,1.0,,"2,870.20"
469,491,1.0,,343.00
470,498,1.0,,332.35
471,490,2.0,,364.80
472,501,1.0,,3.10
473,500,1.0,,125.40
474,499,1.0,,"3,713.60"
475,505,1.0,,463.25
476,509,1.0,,328.00
477,510,1.0,,625.10
478,503,1.0,,"1,184.80"
479,508,1.0,,154.80
481,502,1.0,,90.50
482,504,1.0,,75.10
483,519,1.0,,"1,576.70"
484,517,1.0,,"3,724.50"
485,513,1.0,,96.70
486,516,1.0,,89.00
487,514,1.0,,175.45
488,493,2.0,,"2,237.12"
489,506,1.0,,"7,964.84"
490,507,2.0,,"1,022.32"
491,523,1.0,,"1,262.70"
492,532,1.0,,231.30
493,533,1.0,,"1,127.70"
494,522,1.0,,208.75
495,526,1.0,,766.00
496,536,1.0,,444.50
497,524,1.0,,"5,520.20"
498,542,1.0,,"1,782.00"
499,538,1.0,,870.35
500,535,1.0,,268.90
501,543,1.0,,422.10
502,527,1.0,,216.20
503,534,1.0,,583.80
504,540,1.0,,"5,581.75"
505,560,2.0,,897.59
506,541,1.0,,"6,527.00"
507,566,1.0,,698.60
508,567,1.0,,"2,495.50"
509,557,1.0,,251.85
510,565,1.0,,657.00
511,552,1.0,,481.00
512,564,1.0,,517.60
513,562,1.0,,"4,710.82"
514,572,1.0,,"1,968.00"
515,553,1.0,,20.40
516,550,1.0,,406.45
517,576,1.0,,122.00
518,521,2.0,,"2,486.70"
519,547,1.0,,649.20
520,544,1.0,,390.85
521,555,1.0,,316.55
522,539,1.0,,"1,138.00"
523,549,1.0,,"3,497.10"
524,559,1.0,,393.30
525,546,1.0,,411.15
526,563,1.0,,261.60
527,573,1.0,,79.10
528,569,1.0,,321.50
529,512,2.0,,"3,504.96"
530,494,1.0,,"4,010.26"
531,518,2.0,,"1,599.80"
532,558,1.0,,527.20
533,568,2.0,,366.90
534,570,2.0,,704.32
535,574,1.0,,"8,771.64"
536,583,1.0,,93.60
537,604,1.0,,52.30
538,598,1.0,,"1,312.45"
539,619,1.0,,196.00
540,599,1.0,,"1,231.60"
541,575,1.0,,"6,399.20"
542,588,1.0,,"7,033.90"
543,594,1.0,,561.00
544,609,1.0,,"2,724.90"
545,616,1.0,,"2,597.00"
546,589,1.0,,886.75
547,602,1.0,,955.80
548,614,1.0,,817.75
549,622,1.0,,305.25
550,571,1.0,,"2,050.30"
551,587,1.0,,"4,342.25"
552,592,1.0,,"2,744.65"
553,597,1.0,,498.70
554,611,1.0,,165.20
555,600,1.0,,842.75
556,577,1.0,,"2,451.90"
557,601,1.0,,681.70
558,605,1.0,,"2,517.70"
559,606,1.0,,378.00
560,586,1.0,,"3,566.74"
561,582,1.0,,491.80
562,590,1.0,,529.60
563,621,1.0,,876.40
564,613,2.0,,466.10
565,612,1.0,,"3,009.35"
566,624,1.0,,"1,215.60"
567,654,,,209.60
568,615,1.0,,684.39
569,643,1.0,,"6,661.00"
570,682,1.0,,907.00
571,633,1.0,,"3,236.94"
572,618,1.0,,"1,485.20"
573,636,1.0,,435.90
574,608,1.0,,"3,541.21"
575,603,1.0,,"8,836.99"
576,653,1.0,,201.35
577,591,1.0,,260.85
578,610,1.0,,364.00
579,620,1.0,,117.80
580,617,1.0,,241.50
581,627,1.0,,704.75
582,687,1.0,,"2,066.75"
583,688,2.0,,"2,529.67"
584,637,1.0,,446.20
585,659,1.0,,387.00
586,666,1.0,,407.30
587,631,1.0,,841.00
588,635,1.0,,"8,048.15"
589,650,1.0,,"1,032.00"
590,661,1.0,,"5,049.70"
591,664,1.0,,326.30
592,669,1.0,,"4,864.40"
593,672,1.0,,960.00
594,680,1.0,,754.80
595,700,1.0,,951.05
596,711,1.0,,"2,407.10"
597,670,1.0,,"1,142.00"
598,686,1.0,,"1,935.30"
599,699,1.0,,"1,278.00"
600,578,1.0,,57.80
601,607,1.0,,6.20
602,651,1.0,,0.00
603,657,1.0,,70.35
604,701,1.0,,26.75
605,710,1.0,,7.90
606,585,1.0,,0.00
607,660,1.0,,"20,534.70"
608,691,1.0,,649.90
609,647,1.0,,"1,171.80"
610,679,1.0,,833.40
611,667,1.0,,718.70
612,677,1.0,,117.80
613,683,1.0,,138.20
614,697,1.0,,"1,100.45"
615,694,2.0,,
616,656,1.0,,643.50
617,705,1.0,,440.10
618,630,1.0,,247.90
619,634,1.0,,294.60
620,640,1.0,,474.45
621,652,1.0,,353.30
622,681,1.0,,548.45
623,707,1.0,,343.30
624,696,2.0,,"1,502.17"
625,628,1.0,,211.10
626,632,1.0,,8.70
627,706,1.0,,581.60
628,735,1.0,,702.00
629,595,1.0,,"1,721.40"
630,623,1.0,,"4,020.20"
631,642,1.0,,"5,030.00"
632,665,1.0,,"8,408.60"
633,668,1.0,,100.00
634,690,1.0,,740.20
635,731,1.0,,630.75
636,720,1.0,,969.50
637,704,1.0,,"1,047.12"
638,704,1.0,,426.28
639,668,1.0,,503.42
640,668,1.0,,289.47
641,668,1.0,,996.06
642,668,1.0,,785.34
643,668,1.0,,924.96
644,668,1.0,,"1,625.55"
645,717,1.0,,"8,215.45"
646,712,1.0,,614.70
647,736,1.0,,755.20
648,641,1.0,,"2,050.45"
649,655,1.0,,880.90
650,662,1.0,,"2,534.35"
651,675,1.0,,"1,965.80"
652,703,1.0,,"1,021.70"
653,713,1.0,,"1,579.00"
654,729,1.0,,"1,048.20"
655,716,1.0,,224.10
656,714,1.0,,176.37
657,714,1.0,,9.13
658,702,1.0,,162.30
659,702,1.0,,19.10
660,693,1.0,,79.30
661,689,1.0,,337.25
662,658,1.0,,109.00
663,701,1.0,,45.55
664,673,1.0,,286.60
665,676,1.0,,235.90
666,718,1.0,,125.60
667,734,1.0,,106.95
668,732,1.0,,62.90
669,728,1.0,,180.05
670,724,1.0,,134.30
671,727,1.0,,10.85
672,719,1.0,,58.80
673,708,1.0,,"1,946.25"
674,715,1.0,,"2,261.37"
675,737,1.0,,349.40
676,678,2.0,,313.70
677,723,1.0,,"2,443.28"
678,723,1.0,,"1,062.40"
679,740,1.0,,841.00
680,739,1.0,,4.10
681,726,1.0,,28.30
682,709,2.0,,"3,263.70"
683,721,1.0,,"3,043.45"
684,722,1.0,,"2,767.70"
685,639,1.0,,298.22
686,646,1.0,,80.80
687,695,1.0,,205.00
688,738,1.0,,"1,840.00"
689,668,1.0,,"1,919.72"
690,767,1.0,,"6,384.39"
691,789,2.0,,"1,595.50"
692,1864,1.0,,625.00
693,1864,1.0,,526.32
694,1510,1.0,,"4,961.20"
695,1526,1.0,,"4,409.80"
696,1531,1.0,,"1,318.00"
697,1541,1.0,,954.95
698,1546,1.0,,"1,233.00"
699,1662,1.0,,"2,163.60"
